Cycle	Chunks	Types	Productions	RealT	SimT
24000	11809	9	2	0.056	4.6189999999999145
24100	11816	9	2	0.043	4.132000000000062
24200	11825	9	2	0.041	6.27579999999989
24300	11826	9	2	0.041	3.9877000000001317
24400	11827	9	2	0.044	4.188699999999926
24500	11843	9	2	0.033	7.106600000000071
24600	11849	9	2	0.022	4.08809999999994
24700	11857	9	2	0.039	4.405099999999948
24800	11909	9	2	0.034	5.6737000000000535
24900	11980	9	2	0.079	5.539999999999964
25000	12056	9	2	0.127	5.647600000000011
25100	12056	9	2	0.032	5.236699999999928
25200	12086	9	2	0.052	4.45270000000005
25300	12139	9	2	0.075	4.023200000000088
25400	12238	9	2	0.099	7.165199999999913
25500	12348	9	2	0.093	6.167599999999993
25600	12423	9	2	0.059	6.205300000000079
25700	12455	9	2	0.054	7.026100000000042
25800	12458	9	2	0.037	5.782600000000002
25900	12509	9	2	0.033	5.154599999999846
26000	12581	9	2	0.071	6.083000000000084
26100	12645	9	2	0.217	12.727300000000014
26200	12645	9	2	0.155	12.18249999999989
26300	12738	9	2	0.192	10.484500000000025
26400	12840	9	2	0.175	13.100300000000061
26500	12949	9	2	0.187	8.482700000000023
26600	13003	9	2	0.117	10.337099999999964
26700	13015	9	2	0.267	5.8793000000000575
26800	13027	9	2	0.125	5.463199999999915
26900	13050	9	2	0.169	9.430700000000115
27000	13083	9	2	0.222	8.952399999999898
27100	13098	9	2	0.255	9.259199999999964
27200	13098	9	2	0.115	7.756200000000035
27300	13126	9	2	0.251	15.905300000000125
27400	13192	9	2	0.185	10.787599999999884
27500	13368	9	2	0.357	15.348300000000108
27600	13434	9	2	0.359	17.02299999999991
27700	13499	9	2	0.177	12.077800000000025
27800	13539	9	2	0.161	11.56750000000011
27900	13564	9	2	0.136	6.700199999999995
28000	13627	9	2	0.122	4.334299999999985
28100	13668	9	2	0.249	17.84479999999985
28200	13705	9	2	0.147	10.751500000000078
28300	13720	9	2	0.125	8.607899999999972
28400	13721	9	2	0.159	9.916200000000117
28500	13742	9	2	0.126	5.666699999999992
28600	13852	9	2	0.247	4.667099999999891
28700	13911	9	2	0.115	4.8185000000000855
28800	13980	9	2	0.168	5.475699999999961
28900	14058	9	2	0.183	5.859199999999873
29000	14062	9	2	0.145	7.021900000000187
29100	14075	9	2	0.184	5.171099999999797
29200	14091	9	2	0.147	5.382800000000088
29300	14101	9	2	0.159	6.324700000000121
29400	14139	9	2	0.121	6.151999999999816
29500	14141	9	2	0.103	6.182400000000143
29600	14141	9	2	0.102	5.966799999999921
29700	14147	9	2	0.136	5.838700000000017
29800	14156	9	2	0.096	4.7146999999999935
29900	14162	9	2	0.148	6.846700000000055
30000	14197	9	2	0.131	8.539099999999962
